Code,Borough,2010,2011,2012,2013,2014,2015_c,crime_rate_diff
E09000002,Barking and Dagenham,104.9,100.7,90.5,82.9,81.9,86.5,-0.175405148
E09000003,Barnet,73.1,73.5,69.7,61.6,61.9,65.8,-0.099863201
E09000004,Bexley,59.6,52.3,52.7,50,51.2,52.2,-0.124161074
E09000005,Brent,96.8,101.2,86.6,77.1,78.3,80.6,-0.167355372
E09000006,Bromley,71.4,70.5,64.5,61.2,63.6,65.1,-0.088235294
E09000007,Camden,159.3,162.7,146,124.7,121,125.2,-0.214061519
E09000008,Croydon,90.2,89.8,84.3,75.7,76.6,76.4,-0.152993348
E09000009,Ealing,104.9,96,88.1,75.6,75.8,78.8,-0.248808389
E09000010,Enfield,76.9,73,71,70.6,68.7,69.9,-0.091027308
E09000011,Greenwich,96.8,87.7,81.2,74.4,78.2,79.9,-0.174586777
E09000012,Hackney,115.9,112.9,110.3,101.1,97.7,101.1,-0.12769629
E09000013,Hammersmith and Fulham,133.5,128.4,121.1,106.2,113.6,114.3,-0.143820225
E09000014,Haringey,97.3,101.4,90.3,83.8,89,95.4,-0.019527235
E09000015,Harrow,63.1,58.9,55.5,50.3,50.1,53.3,-0.155309033
E09000016,Havering,74.4,72.7,68.7,62.5,62.4,67.7,-0.090053763
E09000017,Hillingdon,87.3,86.9,73.2,67.2,75.2,73.8,-0.154639175
E09000018,Hounslow,95.7,97.2,86.9,75,78.4,81.6,-0.147335423
E09000019,Islington,140.3,131,132,114.1,118.6,123.6,-0.119030649
E09000020,Kensington and Chelsea,132,131.2,133.6,115.5,120.6,124.7,-0.05530303
E09000021,Kingston upon Thames,70.3,70,62.2,55.7,57.5,58.5,-0.167852063
E09000022,Lambeth,119.8,121.5,112.5,104.8,103.8,107.9,-0.09933222
E09000023,Lewisham,105.9,98.1,87.8,78,75.7,83.1,-0.21529745
E09000024,Merton,73.9,70.6,66.1,57.1,59.8,63.2,-0.144790257
E09000025,Newham,114.9,103.1,101,91,89.4,90.4,-0.213228895
E09000026,Redbridge,89.1,86.2,78.8,69.5,68.7,66.2,-0.25701459
E09000027,Richmond upon Thames,63,64.1,62.4,55,55.7,55.1,-0.125396825
E09000028,Southwark,127.7,119.4,111.6,104.5,99.6,101.7,-0.203602193
E09000029,Sutton,65.5,61.4,57.8,53.1,55.4,54.7,-0.164885496
E09000030,Tower Hamlets,115.3,115,110.6,99.5,96.3,97.4,-0.155247181
E09000031,Waltham Forest,108.4,95.8,93.2,83.1,77.5,80.4,-0.258302583
E09000032,Wandsworth,81.7,79.3,82.5,71.6,72.3,74.1,-0.093023256
E09000033,Westminster,294.7,302,277,238.3,206.9,203.1,-0.310824567
